Date,Low temperature,High temperature,Precipitation
01-Jan-06,-3.6,1.8,0.5
02-Jan-06,-0.4,1.4,4.5
03-Jan-06,-0.2,1.2,0.1
04-Jan-06,0.8,4.6,3
05-Jan-06,-3.7,3.1,4.4
06-Jan-06,-9.9,-3.9,0.1
07-Jan-06,-7.1,-1.4,2.8
08-Jan-06,-4.3,0.1,0.2
09-Jan-06,-0.4,1.6,0.5
10-Jan-06,-3,0.3,0
11-Jan-06,-0.4,7.6,2.9
12-Jan-06,1.6,7,0
13-Jan-06,4.5,8.4,3.2
14-Jan-06,-7,6.1,0.8
15-Jan-06,-11.3,-5.9,0
16-Jan-06,-11.6,-5.6,0
17-Jan-06,-5.8,4.7,14.6
18-Jan-06,-4.6,4.5,7.9
19-Jan-06,-5.5,5.8,0.1
20-Jan-06,0.3,8.3,3.4
21-Jan-06,-6.4,0.2,16.6
22-Jan-06,-9.1,1.7,0
23-Jan-06,-4.8,0.2,0.1
24-Jan-06,-3.9,1.3,3.1
25-Jan-06,-10.7,-0.2,1.1
26-Jan-06,-15.5,-7.9,0
27-Jan-06,-15.6,2.9,0.2
28-Jan-06,1.6,7.5,0
29-Jan-06,2.1,7.5,20
30-Jan-06,1.7,6.9,0.2
31-Jan-06,-2.3,1.6,0
01-Feb-06,-3.5,2.6,0.2
02-Feb-06,1.1,3.1,2.4
03-Feb-06,0.2,2.3,10.1
04-Feb-06,0.2,2.7,28.1
05-Feb-06,-5.9,0.5,5.9
06-Feb-06,-7.4,-3.6,4.2
07-Feb-06,-7,-3,1.8
08-Feb-06,-15.7,-6.6,0
09-Feb-06,-17.8,-6.7,0.5
10-Feb-06,-9.2,-1.8,1
11-Feb-06,-16.7,-3.5,0
12-Feb-06,-18.3,-5.5,0
13-Feb-06,-8.8,-4.3,0.9
14-Feb-06,-5.1,2.2,0
15-Feb-06,0.4,3.9,0
16-Feb-06,-3.7,6.9,25.7
17-Feb-06,-9.2,7.5,12.8
18-Feb-06,-15,-9.8,0
19-Feb-06,-14.4,-9.8,0
20-Feb-06,-11.3,-5.3,1.2
21-Feb-06,-12.5,-1.6,0
22-Feb-06,-12.7,3.9,0
23-Feb-06,-7.1,3.2,0.3
24-Feb-06,-10.5,-2.7,0.5
25-Feb-06,-8.9,0.9,0
26-Feb-06,-17.2,-8.2,0.2
27-Feb-06,-19.7,-5.1,1.1
28-Feb-06,-18.6,-5.6,0
01-Mar-06,-13,-3.6,0
02-Mar-06,-12,-3.3,0
03-Mar-06,-14,-5.1,0
04-Mar-06,-9.1,0,0
05-Mar-06,-8.9,1.3,0
06-Mar-06,-10.3,0.4,0
07-Mar-06,-12.4,-0.1,0
08-Mar-06,-8.8,2.1,0
09-Mar-06,1.2,9.3,24
10-Mar-06,-1.1,9.5,5.6
11-Mar-06,-2.9,10.7,0
12-Mar-06,2.2,12.5,6.4
13-Mar-06,2.3,15.6,14.1
14-Mar-06,-3.4,4,2.4
15-Mar-06,-3.7,1.1,1.1
16-Mar-06,-4.8,2.5,0.2
17-Mar-06,-7.1,-1,0
18-Mar-06,-6.6,-2.6,0.1
19-Mar-06,-4.8,-1.8,1.3
20-Mar-06,-7.6,-2.6,0
21-Mar-06,-9.6,-1.1,0
22-Mar-06,-3.3,-0.3,0
23-Mar-06,-3.4,1.4,0
24-Mar-06,-1.3,2.5,0
25-Mar-06,-1.4,3.6,6.3
26-Mar-06,-1.9,6.1,0
27-Mar-06,-4.4,9.3,0
28-Mar-06,-2.5,10.5,0
29-Mar-06,-3.5,13,0
30-Mar-06,-1.3,15.9,0
31-Mar-06,2.5,19.3,2.5
01-Apr-06,0.7,12.2,3.8
02-Apr-06,-2.7,11.4,0.2
03-Apr-06,0.6,17,1.8
04-Apr-06,-3.8,4.6,0.2
05-Apr-06,-4,3.3,1.2
06-Apr-06,0.4,12.3,0
07-Apr-06,-0.5,6.4,11.8
08-Apr-06,-4.5,2.8,0
09-Apr-06,-4.9,8.2,0
10-Apr-06,-1.6,13.7,0
11-Apr-06,-0.5,18.6,0
12-Apr-06,7.8,15.3,15.4
13-Apr-06,6.2,19.7,0
14-Apr-06,9.2,15,2.4
15-Apr-06,5,14,0.2
16-Apr-06,2.9,13.9,0
17-Apr-06,2.9,13.4,0
18-Apr-06,1.4,18.6,0
19-Apr-06,3.1,21.7,0
20-Apr-06,4.6,23.5,0
21-Apr-06,10.4,18.4,0.4
22-Apr-06,7.2,11.4,6
23-Apr-06,6.4,8.5,26.6
24-Apr-06,5.8,11.6,0.6
25-Apr-06,-0.8,10.5,0.4
26-Apr-06,-1.2,15.6,0
27-Apr-06,1.5,12,0
28-Apr-06,-2.3,13.8,0
