Date,Low temperature,High temperature,Precipitation
01-Jan-13,-9.4,-3,0.2
02-Jan-13,-9,-5.2,0.4
03-Jan-13,-8.3,-2.9,0.5
04-Jan-13,-4.5,-1.5,0.4
05-Jan-13,-3.8,-0.1,0
06-Jan-13,-3.9,0.5,4.3
07-Jan-13,-16.6,-0.2,0.7
08-Jan-13,-3.9,0.7,0
09-Jan-13,-5.7,4.9,0
10-Jan-13,-2.9,3.6,0
11-Jan-13,0.9,6.8,10.9
12-Jan-13,4.9,11.6,0.4
13-Jan-13,3.2,9.7,29.3
14-Jan-13,-5.2,2.7,3.3
15-Jan-13,-5.4,-2.1,0
16-Jan-13,-6.1,1.2,0
17-Jan-13,-10.6,-0.5,0.9
18-Jan-13,-11.5,0.4,1.6
19-Jan-13,0.5,5.5,0.2
20-Jan-13,-10.7,5.2,3.3
21-Jan-13,-14.4,-7.9,0.5
22-Jan-13,-16.6,-13.8,3
23-Jan-13,-20,-11.7,0.5
24-Jan-13,-19.4,-13,0.4
25-Jan-13,-17.4,-9.5,0.6
26-Jan-13,-16,-4.8,0.1
27-Jan-13,-18.9,-3.1,0
28-Jan-13,-4.7,4,12
29-Jan-13,-0.8,10,26.2
30-Jan-13,5.1,14.2,7.6
31-Jan-13,-8.4,4.9,7.6
01-Feb-13,-12.2,-7.6,4.8
02-Feb-13,-20.1,-7.6,0
03-Feb-13,-22.3,-7.7,1.9
04-Feb-13,-21.6,-7.8,0
05-Feb-13,-22.6,-5.4,0
06-Feb-13,-16.4,-4.6,0
07-Feb-13,-14.3,-3,0
08-Feb-13,-10.3,-6.2,16.8
09-Feb-13,-21,-5.1,7.9
10-Feb-13,-24.6,0.7,0
11-Feb-13,-0.8,4.9,5.4
12-Feb-13,-2.8,-0.3,0
13-Feb-13,-10.1,-1.5,1.3
14-Feb-13,-10,1,4.2
15-Feb-13,-9.4,0.7,0.8
16-Feb-13,-20.3,-4.1,5.3
17-Feb-13,-24.6,-10.8,0
18-Feb-13,-14.9,-1.8,0
19-Feb-13,-7.2,2.8,10.4
20-Feb-13,-9.6,-7.4,0.4
21-Feb-13,-15.8,-8,0.2
