Date,Low temperature,High temperature,Precipitation
01-Jan-11,-2.8,10.1,18.8
02-Jan-11,-6.5,-3.1,0.2
03-Jan-11,-7.7,-1.6,0.4
04-Jan-11,-5.3,-0.6,4.1
05-Jan-11,-14.7,-4.6,0.3
06-Jan-11,-15.3,-4.5,4.5
07-Jan-11,-16.2,-6.1,0.2
08-Jan-11,-16.4,-5.7,0.0
09-Jan-11,-15.8,-6.0,0.0
10-Jan-11,-15.8,-5.4,0.0
11-Jan-11,-11.0,-5.5,5.2
12-Jan-11,-10.4,-7.9,9.0
13-Jan-11,-16.6,-6.3,0.0
14-Jan-11,-13.9,-4.4,0.0
15-Jan-11,-8.9,-3.9,4.1
16-Jan-11,-15.3,-7.4,0.2
17-Jan-11,-23.1,-6.3,0.3
18-Jan-11,-5.9,1.4,0.1
19-Jan-11,-15.9,-3.2,0.0
20-Jan-11,-14.8,-7.2,0.0
21-Jan-11,-14.2,-8.2,2.0
22-Jan-11,-14.5,-10.7,1.0
23-Jan-11,-26.0,-12.6,0.4
24-Jan-11,-28.8,-9.0,0.0
25-Jan-11,-8.8,-2.3,0.7
26-Jan-11,-4.2,-1.9,0.3
27-Jan-11,-6.6,-1.6,0.5
28-Jan-11,-6.9,-3.2,0.1
29-Jan-11,-12.2,-4.2,2.1
30-Jan-11,-21.5,-6.3,0.2
31-Jan-11,-25.8,-11.0,0.0
01-Feb-11,-12.6,-8.5,0.9
02-Feb-11,-14.0,-9.3,11.6
03-Feb-11,-22.1,-5.3,0.1
04-Feb-11,-11.9,-6.3,0.2
05-Feb-11,-10.8,-2.2,14.4
06-Feb-11,-5.6,-2.2,1.6
07-Feb-11,-9.9,-0.6,0.0
08-Feb-11,-16.7,-10.0,0.0
09-Feb-11,-14.7,-8.6,0.0
10-Feb-11,-16.8,-10.6,0.0
11-Feb-11,-23.4,-6.4,0.0
12-Feb-11,-10.3,-3.9,1.6
13-Feb-11,-7.7,5.0,0.0
14-Feb-11,-9.4,4.9,0.8
15-Feb-11,-20.7,-3.2,0.0
16-Feb-11,-9.6,4.0,0.0
17-Feb-11,-2.0,9.3,2.0
18-Feb-11,0.3,8.8,0.6
19-Feb-11,-6.7,0.1,0.2
20-Feb-11,-12.7,-1.3,4.4
21-Feb-11,-12.0,-6.4,1.4
22-Feb-11,-16.2,-3.8,0.0
23-Feb-11,-20.2,1.2,0.0
24-Feb-11,-7.5,0.1,0.0
25-Feb-11,-12.0,-1.1,2.3
26-Feb-11,-13.1,-3.5,1.2
27-Feb-11,-4.4,1.2,2.2
28-Feb-11,-5.0,1.1,18.1
01-Mar-11,-11.2,0.9,0.5
02-Mar-11,-14.2,1.0,0.1
03-Mar-11,-15.4,-4.0,0.0
04-Mar-11,-5.3,3.0,2.5
05-Mar-11,-3.7,5.6,27.5
06-Mar-11,-9.9,-1.5,4.5
07-Mar-11,-15.6,-1.8,0.0
08-Mar-11,-11.8,1.8,0.0
09-Mar-11,-1.9,2.9,19.3
10-Mar-11,1.2,4.3,18.5
11-Mar-11,-1.2,1.6,16.3
12-Mar-11,-4.1,2.3,1.1
13-Mar-11,-4.3,1.3,1.0
14-Mar-11,-8.0,2.8,0.1
15-Mar-11,-9.5,5.7,0.4
16-Mar-11,1.3,6.6,6.9
17-Mar-11,0.9,12.6,0.9
18-Mar-11,0.3,13.6,0.4
19-Mar-11,-4.1,0.3,0.2
20-Mar-11,-6.2,4.2,0.3
21-Mar-11,0.6,6.2,8.8
22-Mar-11,-0.1,3.6,0.0
23-Mar-11,-5.9,-0.1,26.8
24-Mar-11,-12.3,-3.4,0.4
25-Mar-11,-15.6,-3.0,0.3
26-Mar-11,-17.5,-3.4,0.0
27-Mar-11,-16.4,-3.2,0.0
28-Mar-11,-14.1,-0.5,0.0
29-Mar-11,-7.5,3.1,0.0
