Date,Low temperature,High temperature,Precipitation
01-Jan-02,-13.14,-4.903,Not Available
02-Jan-02,-11.68,-3.027,Not Available
03-Jan-02,-4.402,-1.952,Not Available
04-Jan-02,-7.73,-1.451,Not Available
05-Jan-02,-2.087,0.049,Not Available
06-Jan-02,-1.301,0.504,Not Available
07-Jan-02,-14.19,-1.345,Not Available
08-Jan-02,-14.22,-1.128,Not Available
09-Jan-02,-1.419,3.633,Not Available
10-Jan-02,1.408,3.313,Not Available
11-Jan-02,-0.021,1.918,Not Available
12-Jan-02,-1.702,2.442,Not Available
13-Jan-02,-6.155,-0.369,Not Available
14-Jan-02,-9.14,0.057,Not Available
15-Jan-02,-3.621,0.635,Not Available
16-Jan-02,-6.674,-1.117,Not Available
17-Jan-02,-6.127,-0.517,Not Available
18-Jan-02,-18.83,-5.616,Not Available
19-Jan-02,-21.23,-4.383,Not Available
20-Jan-02,-8.68,-0.493,Not Available
21-Jan-02,-3.031,0.074,Not Available
22-Jan-02,-5.966,4.309,Not Available
23-Jan-02,2.54,4.757,Not Available
24-Jan-02,-4.261,3.692,Not Available
25-Jan-02,-3.846,3.091,Not Available
26-Jan-02,1.615,4.926,Not Available
27-Jan-02,0.561,6.989,Not Available
28-Jan-02,-1.389,8.05,Not Available
29-Jan-02,-1.74,2.549,Not Available
30-Jan-02,-4.323,-1.724,Not Available
31-Jan-02,-7.25,-3.953,Not Available
01-Feb-02,-6.549,2.907,Not Available
02-Feb-02,-9.02,-1.718,Not Available
03-Feb-02,-4.391,-0.281,Not Available
04-Feb-02,-17.91,-2.329,Not Available
05-Feb-02,-16.49,-3.078,Not Available
06-Feb-02,-6.975,-1.784,Not Available
07-Feb-02,-3.696,1.438,Not Available
08-Feb-02,-4.812,1.271,Not Available
09-Feb-02,-6.034,1.207,Not Available
10-Feb-02,-5.828,5.748,Not Available
11-Feb-02,-13.92,-4.21,Not Available
12-Feb-02,-7.32,1.717,Not Available
13-Feb-02,-14.77,-5.33,Not Available
14-Feb-02,-6.91,2.703,Not Available
15-Feb-02,0.306,3.54,Not Available
16-Feb-02,-2.532,0.764,Not Available
17-Feb-02,-13.92,-2.879,Not Available
18-Feb-02,-16.76,-0.56,Not Available
