Date,Low temperature,High temperature,Precipitation
01-Jan-00,-3.903,5.601,Not Available
02-Jan-00,-2.932,10.91,Not Available
03-Jan-00,-1.83,9.19,Not Available
04-Jan-00,-5.478,10.66,Not Available
05-Jan-00,-6.74,-4.116,Not Available
06-Jan-00,-4.032,0.843,Not Available
07-Jan-00,-5.462,0.672,Not Available
08-Jan-00,-7.65,3.574,Not Available
09-Jan-00,-0.348,2.593,Not Available
10-Jan-00,0.5,6.693,Not Available
11-Jan-00,-0.742,3.974,Not Available
12-Jan-00,-5.458,-0.558,Not Available
13-Jan-00,-15.42,-5.36,Not Available
14-Jan-00,-16.02,-7.63,Not Available
15-Jan-00,-9.79,-1.692,Not Available
16-Jan-00,-15.66,0.741,Not Available
17-Jan-00,-20.02,-13.71,Not Available
18-Jan-00,-16.26,-9.52,Not Available
19-Jan-00,-10.21,-3.77,Not Available
20-Jan-00,-19.76,-6.998,Not Available
21-Jan-00,-24.51,-12.61,Not Available
22-Jan-00,-23.42,-10.35,Not Available
23-Jan-00,-12.18,-2.87,Not Available
24-Jan-00,-22.19,-8.57,Not Available
25-Jan-00,-22.55,-6.044,Not Available
26-Jan-00,-17.92,-6.911,Not Available
27-Jan-00,-19.75,-12.94,Not Available
28-Jan-00,-20.58,-5.619,Not Available
29-Jan-00,-20.19,0.433,Not Available
30-Jan-00,-7.12,-1.859,Not Available
31-Jan-00,-5.619,-1.847,Not Available
01-Feb-00,-10.32,-4.016,Not Available
02-Feb-00,-20.27,-6.365,Not Available
03-Feb-00,-7.76,-2.16,Not Available
04-Feb-00,-16.46,-3.665,Not Available
05-Feb-00,-13.27,-2.641,Not Available
06-Feb-00,-15.49,-3.251,Not Available
07-Feb-00,-20.29,-1.628,Not Available
08-Feb-00,-24.62,-4.736,Not Available
09-Feb-00,-5.859,2.707,Not Available
10-Feb-00,-6.856,-1.95,Not Available
11-Feb-00,-16.09,-5.608,Not Available
12-Feb-00,-24.17,-5.421,Not Available
13-Feb-00,-8.82,-3.942,Not Available
14-Feb-00,-10.04,-4.016,Not Available
15-Feb-00,-11.26,-2.075,Not Available
16-Feb-00,-8.13,0.78,Not Available
17-Feb-00,-11.93,-4.396,Not Available
18-Feb-00,-9.02,-3.844,Not Available
19-Feb-00,-10.54,-1.801,Not Available
20-Feb-00,-6.251,-1.958,Not Available
21-Feb-00,-11.41,1.277,Not Available
22-Feb-00,-0.527,7.64,0.6
23-Feb-00,1.696,7.43,3.7
24-Feb-00,1.318,10.46,3.7
25-Feb-00,1.736,7.76,0
26-Feb-00,1.066,13.58,0.3
27-Feb-00,2.853,12.33,0.1
28-Feb-00,-4.361,2.696,0
29-Feb-00,-5.796,7.9,1.5
01-Mar-00,0.465,11.21,0
02-Mar-00,-3.052,0.1,0
03-Mar-00,-4.329,4.134,0
04-Mar-00,-4.259,8.78,0
05-Mar-00,-3.091,7.09,0
06-Mar-00,-4.632,10.32,0
07-Mar-00,-1.999,19.51,0
08-Mar-00,5.544,23.96,0.3
09-Mar-00,-4.607,18.37,0
10-Mar-00,-6.751,-4.586,0.1
11-Mar-00,-4.981,-1.813,0.3
12-Mar-00,-4.644,1.8,0
13-Mar-00,-9.67,1.084,1.8
14-Mar-00,0.109,7.32,2.4
15-Mar-00,2.741,10.57,1.5
16-Mar-00,-3.66,7.17,0
17-Mar-00,-6.93,-2.18,0
18-Mar-00,-6.925,0.721,0.5
19-Mar-00,-3.855,5.563,0
20-Mar-00,2.937,9.72,0
21-Mar-00,-1.599,13.21,0
22-Mar-00,1.983,11.26,0
23-Mar-00,1.35,14.79,0
24-Mar-00,-2.244,16.31,1.6
25-Mar-00,6.906,16.88,0
26-Mar-00,1.694,9.59,5.3
27-Mar-00,-1.151,8.38,0.1
28-Mar-00,-3.598,9.57,0.5
29-Mar-00,0.349,2.711,0
30-Mar-00,-0.613,6.266,2.5
31-Mar-00,-2.108,10.72,0
01-Apr-00,0.923,14.61,0.2
02-Apr-00,5.547,11.67,0
03-Apr-00,5.597,12.12,3.3
04-Apr-00,-2.514,7.68,0.3
05-Apr-00,-3.193,4.661,0.5
06-Apr-00,1.827,9.32,2.4
07-Apr-00,-1.921,8.59,2.6
08-Apr-00,-3.682,1.604,0.2
09-Apr-00,-6.15,4.666,0
10-Apr-00,-3.567,-0.032,1.1
11-Apr-00,-3.595,-0.551,0.5
12-Apr-00,-7.36,4.486,0
13-Apr-00,-5.35,8.29,0
14-Apr-00,-1.726,17.67,0
15-Apr-00,11,22.27,0
16-Apr-00,4.567,12.23,0.5
17-Apr-00,0.791,5.053,0
18-Apr-00,0.787,8.43,0
19-Apr-00,3.654,13.06,18.6
20-Apr-00,6.523,9.28,0
21-Apr-00,5.985,8.31,0.9
22-Apr-00,1.52,8.72,0
23-Apr-00,0.729,16.37,0
24-Apr-00,1.226,15.26,0
25-Apr-00,1.778,13.37,0
