Date,Low temperature,High temperature,Precipitation
01-Jan-12,-1.8,5.7,9.5
02-Jan-12,-11.7,-1.5,4.3
03-Jan-12,-18.3,-10.7,0.2
04-Jan-12,-14.2,-2.4,0.1
05-Jan-12,-2.3,0.3,0.0
06-Jan-12,0.0,5.7,0.0
07-Jan-12,-1.0,4.9,0.1
08-Jan-12,-5.4,-0.7,0.2
09-Jan-12,-3.7,2.6,0.2
10-Jan-12,-3.0,3.0,0.0
11-Jan-12,-2.9,5.4,0.0
12-Jan-12,1.2,3.2,7.7
13-Jan-12,-8.0,2.6,0.5
14-Jan-12,-14.9,-8.2,0.3
15-Jan-12,-16.1,-6.9,0.0
16-Jan-12,-9.6,3.1,2.2
17-Jan-12,-4.1,8.2,6.3
18-Jan-12,-9.0,-4.2,0.0
19-Jan-12,-11.2,-3.3,4.2
20-Jan-12,-11.6,-8.7,1.9
21-Jan-12,-15.2,-4.3,0.6
22-Jan-12,-16.3,0.6,0.0
23-Jan-12,0.4,6.8,8.5
24-Jan-12,-2.6,0.6,0.4
25-Jan-12,-3.2,-2.3,0.1
26-Jan-12,-2.8,0.6,4.1
27-Jan-12,-2.6,1.4,8.8
28-Jan-12,-3.8,0.3,4.8
29-Jan-12,-7.8,-1.1,2.9
30-Jan-12,-6.7,-3.1,4.1
31-Jan-12,-4.1,7.6,0.6
01-Feb-12,0.4,7.8,0.0
02-Feb-12,-1.2,0.4,0.0
03-Feb-12,-2.2,2.1,0.0
04-Feb-12,-5.2,3.2,0.0
05-Feb-12,-1.9,3.9,0.0
06-Feb-12,-2.4,7.3,0.0
07-Feb-12,-7.2,-1.0,0.0
08-Feb-12,-7.9,-0.6,0.0
09-Feb-12,-5.3,3.1,0.0
10-Feb-12,-4.3,-1.7,1.2
11-Feb-12,-13.1,-4.4,4.2
12-Feb-12,-8.2,-4.0,0.2
13-Feb-12,-6.4,0.0,0.2
14-Feb-12,-3.0,0.3,1.5
15-Feb-12,-5.9,1.7,0.2
16-Feb-12,-5.0,3.0,3.5
17-Feb-12,-3.0,1.9,0.1
18-Feb-12,-5.0,1.7,5.1
19-Feb-12,-11.9,-2.7,0.0
20-Feb-12,-14.6,0.8,0.0
21-Feb-12,-4.9,3.1,4.2
22-Feb-12,-0.6,3.2,1.3
23-Feb-12,-1.6,3.3,0.0
24-Feb-12,-1.9,2.4,5.8
25-Feb-12,-7.1,-1.9,6.6
26-Feb-12,-10.4,-0.1,0.0
27-Feb-12,-5.5,5.6,0.0
28-Feb-12,-2.8,2.0,0.0
29-Feb-12,-1.5,0.7,5.1
01-Mar-12,-0.3,2.1,6.3
02-Mar-12,-0.2,6.1,7.9
03-Mar-12,-1.7,7.8,1.8
04-Mar-12,-11.8,-1.7,0.7
05-Mar-12,-14.0,-5.1,0.1
06-Mar-12,-11.1,5.6,0.0
07-Mar-12,5.0,13.6,0.3
08-Mar-12,-1.8,13.0,3.4
09-Mar-12,-6.8,0.0,3.1
10-Mar-12,-12.8,2.9,0.0
11-Mar-12,2.5,16.0,0.0
12-Mar-12,0.1,12.8,7.0
13-Mar-12,1.0,15.0,5.0
14-Mar-12,-2.2,16.8,0.0
15-Mar-12,3.7,19.7,1.1
16-Mar-12,8.7,21.7,0.0
17-Mar-12,6.4,22.1,0.0
18-Mar-12,7.0,22.2,0.0
19-Mar-12,8.6,23.5,0.1
20-Mar-12,8.1,25.3,0.1
