Date,Low temperature,High temperature,Precipitation
01-Jan-99,-24.04,-10.44,Not Available
02-Jan-99,-22.53,-6.877,Not Available
03-Jan-99,-12.02,-2.638,Not Available
04-Jan-99,-14.19,-11.07,Not Available
05-Jan-99,-16.78,-12.52,Not Available
06-Jan-99,-15.57,-5.17,Not Available
07-Jan-99,-13.64,-10.23,Not Available
08-Jan-99,-22.19,-8.68,Not Available
09-Jan-99,-13.34,-6.072,Not Available
10-Jan-99,-17.82,-10.72,Not Available
11-Jan-99,-16.95,-11.07,Not Available
12-Jan-99,-11.37,-5.677,Not Available
13-Jan-99,-22.77,-10.62,Not Available
14-Jan-99,-23.73,-14.53,Not Available
15-Jan-99,-14.85,-9.26,Not Available
16-Jan-99,-11.47,1.249,Not Available
17-Jan-99,-6.993,3.289,Not Available
18-Jan-99,-1.329,4.203,Not Available
19-Jan-99,-2.513,-0.937,Not Available
20-Jan-99,-11.35,-0.344,Not Available
21-Jan-99,-11.99,5.264,Not Available
22-Jan-99,-1.284,3.177,Not Available
23-Jan-99,3.43,10.51,Not Available
24-Jan-99,-1.854,5.923,Not Available
25-Jan-99,-2.92,1.327,Not Available
26-Jan-99,-7.88,-1.988,Not Available
27-Jan-99,-10.88,-0.324,Not Available
28-Jan-99,-6.023,0.48,Not Available
29-Jan-99,-10.07,-3.354,Not Available
30-Jan-99,-8.08,-0.69,Not Available
31-Jan-99,-10.45,-1.555,Not Available
01-Feb-99,-15.51,1.915,Not Available
02-Feb-99,-0.345,3.657,Not Available
03-Feb-99,-1.621,4.392,Not Available
04-Feb-99,-6.711,2.161,Not Available
05-Feb-99,-8.22,-2.026,Not Available
06-Feb-99,-3.563,1.908,Not Available
07-Feb-99,-4.474,-0.682,Not Available
08-Feb-99,-9.84,-0.721,Not Available
09-Feb-99,-1.959,7.49,Not Available
10-Feb-99,-2.561,4.138,Not Available
11-Feb-99,-1.413,10.83,Not Available
12-Feb-99,-5.601,13.89,Not Available
13-Feb-99,-10.06,-4.284,Not Available
14-Feb-99,-14.73,-1.583,Not Available
15-Feb-99,-3.637,4.79,Not Available
16-Feb-99,-1.03,7.5,Not Available
17-Feb-99,-1.817,2.499,Not Available
18-Feb-99,-7.07,-1.705,Not Available
19-Feb-99,-9.85,-3.478,Not Available
20-Feb-99,-10.87,-2.546,Not Available
21-Feb-99,-12.44,-5.793,Not Available
22-Feb-99,-16.57,-5.813,Not Available
23-Feb-99,-15.82,-5.488,Not Available
24-Feb-99,-9.56,-0.093,Not Available
25-Feb-99,-8.6,0.818,Not Available
26-Feb-99,-11.75,3.516,Not Available
27-Feb-99,-7.05,3.731,Not Available
28-Feb-99,0.989,3.949,Not Available
01-Mar-99,-2.648,0.783,Not Available
02-Mar-99,-3.809,2.02,Not Available
03-Mar-99,-4.398,0.257,Not Available
04-Mar-99,-8.5,-4.121,Not Available
05-Mar-99,-11.8,-4.464,Not Available
06-Mar-99,-13.16,-7.17,Not Available
07-Mar-99,-20.72,-7.34,Not Available
08-Mar-99,-25.37,-3.782,Not Available
09-Mar-99,-8.48,-4.653,Not Available
10-Mar-99,-8.83,-1.998,Not Available
11-Mar-99,-11.98,0.658,Not Available
12-Mar-99,-6.797,0.377,Not Available
13-Mar-99,-10.26,2.799,Not Available
14-Mar-99,-9,2.056,Not Available
15-Mar-99,-11.45,3.638,Not Available
16-Mar-99,-2.344,5.824,Not Available
17-Mar-99,-1.62,10.12,Not Available
18-Mar-99,-0.558,7.32,Not Available
19-Mar-99,-2.996,1.513,Not Available
20-Mar-99,-5.045,5.661,Not Available
21-Mar-99,-0.776,5.529,Not Available
22-Mar-99,-2.846,-0.101,Not Available
23-Mar-99,-5.535,4.043,Not Available
24-Mar-99,-1.611,3.42,Not Available
25-Mar-99,-3.95,-0.664,Not Available
26-Mar-99,-5.638,6.647,0
27-Mar-99,-5.073,11.87,0
28-Mar-99,-4.043,15.1,0
29-Mar-99,-0.073,11.7,0
30-Mar-99,-0.589,15.19,0
31-Mar-99,8.24,18.65,0
01-Apr-99,10.4,14.34,0
02-Apr-99,4.674,11.39,0
03-Apr-99,4.997,21.83,0
04-Apr-99,1.345,15.51,0
05-Apr-99,-0.655,7.79,0
06-Apr-99,2.097,17.49,0
07-Apr-99,2.931,14.75,0
08-Apr-99,5.138,14.62,0.6
09-Apr-99,2.037,8.5,0
10-Apr-99,-2.929,10.73,1.1
11-Apr-99,-1.171,3.263,5
12-Apr-99,-3.222,5.963,0
13-Apr-99,-2.337,11.33,0
14-Apr-99,1.736,14.99,0
15-Apr-99,-1.044,16.44,3.9
16-Apr-99,2.216,6.276,0.2
17-Apr-99,2.549,9.76,0
18-Apr-99,1.123,9.32,0.1
19-Apr-99,1.27,8.51,0
20-Apr-99,-1.681,10.24,0.4
21-Apr-99,-0.266,13.58,10
22-Apr-99,5.791,8.12,0.1
23-Apr-99,1.522,9.23,0
24-Apr-99,-1.32,10.43,0
25-Apr-99,-2.38,14.4,0
26-Apr-99,5.735,16.74,0
27-Apr-99,1.504,13.05,0
28-Apr-99,3.973,12.96,0
29-Apr-99,-1.171,17.3,0
30-Apr-99,0.134,20.49,0
01-May-99,1.346,22.37,0
02-May-99,2.875,22.81,0
03-May-99,4.035,22.53,0
04-May-99,7.48,24.16,0
05-May-99,6.603,24.1,0
06-May-99,13.55,24.89,0
07-May-99,10.57,22.66,1.4
08-May-99,9.51,18.88,0
09-May-99,3.237,11.02,0
10-May-99,1.649,19.02,0
11-May-99,5.915,16.37,0
12-May-99,1.639,16.95,0
13-May-99,4.948,17.07,0
14-May-99,5.704,18.78,0
15-May-99,10.23,21.08,0
16-May-99,9.65,23.25,0
17-May-99,14.9,27.56,3.6
18-May-99,15.08,25.29,2.4
19-May-99,5.596,14.99,0
20-May-99,2.838,20.12,0
21-May-99,6.759,24.14,0.1
22-May-99,12.65,20.4,1
23-May-99,7.99,20.48,3.9
24-May-99,6.724,13.51,3.9
25-May-99,5.677,8.33,0.1
26-May-99,6.095,10.75,0
27-May-99,5.345,20.44,0
28-May-99,9.59,27.04,0
29-May-99,9.93,28.47,0
30-May-99,11.97,30.29,1.3
31-May-99,14.62,24.07,5.5
01-Jun-99,17.51,22.8,7
02-Jun-99,13.63,23.02,0
03-Jun-99,8.98,15.51,0
04-Jun-99,6.137,21.87,0
05-Jun-99,9.55,25.09,0
06-Jun-99,18.77,30.34,0
07-Jun-99,21.75,30.55,0
08-Jun-99,15.72,26.55,0
09-Jun-99,13.11,29.22,0
10-Jun-99,18.27,29.49,0
11-Jun-99,18.89,30.27,0
12-Jun-99,20.35,31.11,0
13-Jun-99,19.85,28.94,8
14-Jun-99,9.33,21.22,0
15-Jun-99,5.953,15.03,0
16-Jun-99,5.983,16.9,10.4
17-Jun-99,8.63,16.53,0
18-Jun-99,5.352,21.83,0
19-Jun-99,8.22,22.9,0
20-Jun-99,11.59,24.62,0
21-Jun-99,10.68,26.6,0
22-Jun-99,10.52,27.56,0
23-Jun-99,12.15,28.41,3.1
24-Jun-99,15.5,26.94,3.6
25-Jun-99,16.14,28.33,0
26-Jun-99,13.61,30.45,20.9
27-Jun-99,17.28,25.36,0.1
28-Jun-99,19.71,28.8,3.4
29-Jun-99,10.74,22.93,0
30-Jun-99,9.69,21.22,2.2
01-Jul-99,10.41,24.49,0
02-Jul-99,17.17,26.15,0.3
03-Jul-99,17.69,28.44,0
04-Jul-99,24.76,32.36,0
05-Jul-99,24.3,32.32,0
06-Jul-99,17.91,28.25,0
07-Jul-99,14.96,25.83,0.1
08-Jul-99,12.46,22.3,1.6
09-Jul-99,14.81,26.12,0
10-Jul-99,11.31,19.79,0
11-Jul-99,9.35,23.16,0
12-Jul-99,10.09,26.83,0
13-Jul-99,11.29,26.46,0
14-Jul-99,13.56,27.99,0
15-Jul-99,20.28,30.58,0
16-Jul-99,19.8,31.11,11.9
17-Jul-99,20.9,30.7,0
