Date,Low temperature,High temperature,Precipitation
01-Jan-14,-15.6,-8.9,0.1
02-Jan-14,-17.7,-15.1,0.1
03-Jan-14,-23.4,-13.1,0
04-Jan-14,-12.7,-2.5,0
05-Jan-14,-3.7,-1.2,19.1
06-Jan-14,-19.6,-2.1,7.7
07-Jan-14,-26.1,-18.7,1.5
08-Jan-14,-19.1,-11.1,0
09-Jan-14,-22.2,-8.3,0
10-Jan-14,-8.3,2.4,0
11-Jan-14,0.3,5.4,26.4
12-Jan-14,-0.8,1.3,0
13-Jan-14,0.4,5.8,0.2
14-Jan-14,-2.5,3.3,0
15-Jan-14,-8.5,-0.4,1.4
16-Jan-14,-8.7,-4,2.7
17-Jan-14,-8,-0.3,3.9
18-Jan-14,-10.1,-4.6,1.7
19-Jan-14,-10.7,-3.4,1.4
20-Jan-14,-16,-3.6,1.4
21-Jan-14,-27.3,-16.4,0.5
22-Jan-14,-29.8,-14.2,1
23-Jan-14,-23.8,-14.4,0.7
24-Jan-14,-22.8,-10.4,0
25-Jan-14,-15.5,-5.4,2.7
26-Jan-14,-18.6,-6.3,0
27-Jan-14,-18.9,-6.3,0
28-Jan-14,-22.2,-14.8,0
29-Jan-14,-21.1,-12.3,0
30-Jan-14,-14.9,-4.5,0.8
31-Jan-14,-8.9,-1.5,0.9
01-Feb-14,-4.8,0.3,11.6
02-Feb-14,-13.2,-0.8,1
03-Feb-14,-23.5,-6,7.4
04-Feb-14,-25.6,-4.2,0
05-Feb-14,-18,-7.6,0
06-Feb-14,-22.8,-9.5,0
07-Feb-14,-18,-12.6,0
08-Feb-14,-23.5,-11,0
09-Feb-14,-23.5,-8.7,5.6
10-Feb-14,-16.2,-9.8,3.8
11-Feb-14,-28.5,-11.7,0
12-Feb-14,-31.2,-8.3,0
13-Feb-14,-23.3,-3.3,0
14-Feb-14,-7.3,-4,0
15-Feb-14,-14.8,-5.2,0
16-Feb-14,-23.2,-8.3,0
17-Feb-14,-29.7,-5.8,0
18-Feb-14,-6.7,-2.6,0.1
19-Feb-14,-10.6,4.4,0
20-Feb-14,-7.8,0.7,0
21-Feb-14,-2,2.9,1.2
22-Feb-14,-2.7,1.3,0
23-Feb-14,-8,-2.7,0
24-Feb-14,-11.1,-8,0
25-Feb-14,-14.5,-9,0
26-Feb-14,-18.3,-12.1,0
27-Feb-14,-23.2,-12.2,0
28-Feb-14,-29.9,-12.5,0
01-Mar-14,-13,-4.6,0.8
02-Mar-14,-22.5,-12.8,2
03-Mar-14,-26.4,-14.9,0
04-Mar-14,-26.2,-10.2,1.5
05-Mar-14,-23.8,-7,0
06-Mar-14,-24.4,-5.6,0
07-Mar-14,-18.3,4.5,0
08-Mar-14,-12.7,1.2,0
09-Mar-14,-15.6,-0.6,0
10-Mar-14,-0.6,5.2,0
11-Mar-14,0.2,9.8,0
12-Mar-14,-16,1.5,6.6
13-Mar-14,-19.2,-7.6,0
14-Mar-14,-7.4,6.9,0
15-Mar-14,-10.3,4.4,0
16-Mar-14,-17.5,-10.5,0
17-Mar-14,-21.7,-4.2,0
18-Mar-14,-7.9,3.4,0
19-Mar-14,-1.7,5.1,1.6
20-Mar-14,-3.4,1.1,0
21-Mar-14,-7.6,2.3,0
22-Mar-14,-8.3,0.1,0
23-Mar-14,-14.2,-7.8,0.5
24-Mar-14,-16.4,-5,0
25-Mar-14,-13.5,-3.2,0
26-Mar-14,-15.3,-7.4,0
27-Mar-14,-11,2,2
28-Mar-14,-0.3,7,2.5
29-Mar-14,-0.5,1.2,0
30-Mar-14,-4.4,4.6,0
31-Mar-14,-5.7,10.9,0
01-Apr-14,-0.1,10.3,0
02-Apr-14,-3.6,2.8,0
03-Apr-14,-3.4,2.8,0
04-Apr-14,-0.2,6.1,6.4
05-Apr-14,-2.9,2.2,2.4
06-Apr-14,-4.7,10.1,0
07-Apr-14,-3.6,9.4,7.1
08-Apr-14,0.4,9.2,3
09-Apr-14,-1.7,8.3,0.7
10-Apr-14,2.5,16.5,1.6
11-Apr-14,-0.1,14.6,2.8
12-Apr-14,-0.1,16.7,9
13-Apr-14,5.2,20.2,0
14-Apr-14,0.5,19.8,7.3
15-Apr-14,-6.3,0.4,6.3
16-Apr-14,-9,2.9,0
17-Apr-14,-1.3,9.8,0
18-Apr-14,0.2,10.2,0.3
19-Apr-14,-2.3,12.5,0
20-Apr-14,2.4,19.4,0
21-Apr-14,3.8,22.3,0
22-Apr-14,2.3,14.1,3.8
23-Apr-14,0.2,8.9,0
24-Apr-14,-2,12.8,0
25-Apr-14,2.4,9.5,6.8
26-Apr-14,1.5,7.1,0
27-Apr-14,-0.6,12.2,0
28-Apr-14,2.6,10.9,0
29-Apr-14,5.7,8.8,19.9
30-Apr-14,6.1,8.1,13.5
01-May-14,6.4,11.8,1.7
02-May-14,5.2,11,3
03-May-14,5.3,10.4,3.4
04-May-14,3,10.2,0
05-May-14,1.7,12.5,0
06-May-14,2.3,15.1,0
07-May-14,6.2,14,0
08-May-14,7.8,19.8,0.1
09-May-14,10.9,25.8,2.3
10-May-14,8.5,18.8,0
11-May-14,4.1,22.9,0
12-May-14,10.3,23.8,1.2
13-May-14,15.7,28.1,14.9
14-May-14,11.7,18.3,14.6
15-May-14,8.9,17.6,10.1
16-May-14,3,9.1,0
17-May-14,1.9,11.4,0
18-May-14,4.6,17.2,0
19-May-14,8.9,21,0
20-May-14,9.9,16,11.7
21-May-14,10.8,23.9,0.1
22-May-14,7.8,16.8,0.3
23-May-14,6.3,13.7,0
24-May-14,7.3,22.9,0
25-May-14,7.4,25.6,0
26-May-14,14.5,27.6,0
27-May-14,16.9,26.7,0.1
28-May-14,11.7,21.1,0.1
29-May-14,9.1,21.8,0
30-May-14,9,24.9,0
31-May-14,9.1,22.3,0
01-Jun-14,7.8,26.7,0
02-Jun-14,15.1,28.1,1.9
03-Jun-14,12.1,26.1,9.6
04-Jun-14,10.9,20.8,0
05-Jun-14,8.6,19.6,0
06-Jun-14,7.6,24.1,0
07-Jun-14,7.1,26,0
08-Jun-14,11.1,19.1,1.8
09-Jun-14,10.9,25.1,0
10-Jun-14,12.6,25.8,0
11-Jun-14,15.5,24.9,5.7
12-Jun-14,18.2,25.6,0.8
13-Jun-14,8.9,20.8,4.2
14-Jun-14,8.9,18.5,0
15-Jun-14,7.8,25,0
16-Jun-14,13.4,29.5,0.6
17-Jun-14,15.5,29.3,0.8
18-Jun-14,16.6,25.2,1.9
19-Jun-14,13.1,25.1,0
20-Jun-14,8.9,23.9,0
21-Jun-14,14.9,22.9,0
22-Jun-14,11.1,26.7,0
23-Jun-14,12.5,26.4,9.3
24-Jun-14,18.4,25.9,11.4
25-Jun-14,17.8,23.9,0
26-Jun-14,17.4,25.7,0
27-Jun-14,14.2,28.4,0
28-Jun-14,15,30.1,0
29-Jun-14,18.4,29,4.3
30-Jun-14,20.1,28.4,0.1
01-Jul-14,20.9,27.2,3.1
02-Jul-14,15.7,27.1,8.4
03-Jul-14,11.2,20.1,0.8
04-Jul-14,8.7,21.7,0
05-Jul-14,9.2,25.7,0
06-Jul-14,15.9,25.8,0
07-Jul-14,18.9,27,59.3
08-Jul-14,14.7,23.3,14.8
09-Jul-14,11.9,20.9,0
10-Jul-14,10.1,22.8,0
11-Jul-14,10.4,25.6,0
12-Jul-14,13.6,26.4,0
13-Jul-14,17.2,26.7,5
14-Jul-14,13.8,24.7,0
15-Jul-14,13.4,22,23
16-Jul-14,10.7,17.9,1.4
17-Jul-14,9.4,22.2,0
18-Jul-14,9.3,25.4,0
19-Jul-14,13.6,21.2,2.4
20-Jul-14,17.2,24.9,0
21-Jul-14,16.6,28.6,0
22-Jul-14,15.8,29,0
23-Jul-14,13,23.9,0
24-Jul-14,10.6,22.8,0
25-Jul-14,9.5,23.9,0
26-Jul-14,16.3,24.3,0
27-Jul-14,16.2,26,14.7
28-Jul-14,10.9,19,27.6
29-Jul-14,10.3,19.5,0
30-Jul-14,11.6,21.7,5.4
31-Jul-14,10.9,23.7,0
01-Aug-14,14.1,26.2,8.6
02-Aug-14,13.4,26.5,59.4
03-Aug-14,13.9,27.6,0
04-Aug-14,15.3,27.1,0
05-Aug-14,15.2,24.7,0.8
06-Aug-14,12.6,23.7,0
07-Aug-14,12.3,23.5,0
08-Aug-14,9.9,25.1,0
09-Aug-14,11,26.1,0
10-Aug-14,10.9,26.7,0
11-Aug-14,14.1,25.7,14.5
12-Aug-14,16.5,25,4.3
13-Aug-14,12.3,17.7,0.1
14-Aug-14,10.8,15.9,0.1
15-Aug-14,10.3,20.6,0
16-Aug-14,12.7,18.7,1.8
17-Aug-14,12.1,22.9,0
18-Aug-14,10.2,23.8,0
19-Aug-14,9,25,0
20-Aug-14,16.5,24.7,1.5
21-Aug-14,16.1,26.4,0.4
22-Aug-14,15,27.3,0
23-Aug-14,15.7,23.4,0
24-Aug-14,16.6,23.4,0
25-Aug-14,12.8,27.1,0
26-Aug-14,17.7,29.8,0
27-Aug-14,11.5,21.3,0
28-Aug-14,9.8,21.4,0
29-Aug-14,9.7,24,0
30-Aug-14,16.9,28.8,0
31-Aug-14,21.9,27.3,0
01-Sep-14,17.4,19.7,5.6
02-Sep-14,14.7,21.5,15.8
03-Sep-14,13.6,26.3,0.2
04-Sep-14,15.1,27.3,0
05-Sep-14,19,29.1,38.4
06-Sep-14,11.1,19.7,15.4
07-Sep-14,9.7,22.1,0
08-Sep-14,8.8,23,0
09-Sep-14,15.7,21.9,0
10-Sep-14,15,22.3,48.8
11-Sep-14,9.8,22.4,9
12-Sep-14,8.9,13.4,0.4
13-Sep-14,6.7,12.9,3.8
14-Sep-14,3.3,15.3,0.2
15-Sep-14,7.8,16.6,1
16-Sep-14,7.6,17.2,0.2
17-Sep-14,6.1,19.4,0
18-Sep-14,4.7,14.7,0.2
19-Sep-14,2.6,15.3,0
20-Sep-14,7.5,23.1,1.4
21-Sep-14,8.9,21,19.4
22-Sep-14,6.9,13.1,0
23-Sep-14,8.2,20.4,0
24-Sep-14,6.8,23.1,0
25-Sep-14,8,22.3,0
26-Sep-14,7.6,24.6,0
27-Sep-14,9.2,25.9,0
28-Sep-14,10,25.4,0
29-Sep-14,10.4,24.2,0
30-Sep-14,14.5,17.7,0
01-Oct-14,13.4,16.1,0.2
02-Oct-14,14.5,20.9,0
03-Oct-14,12.4,21.2,15.8
04-Oct-14,3.4,12.2,6.4
05-Oct-14,2.9,11.3,0.2
06-Oct-14,7,16.4,9.6
07-Oct-14,8,15.9,0.8
08-Oct-14,5.6,10.9,0
09-Oct-14,3.6,12.1,0.2
10-Oct-14,1.7,11.3,0
11-Oct-14,0.8,11.9,0
12-Oct-14,-1.1,13,0
13-Oct-14,5.5,17.2,0
14-Oct-14,15.3,21.3,5.6
15-Oct-14,10.3,17,8.4
16-Oct-14,11.1,17.2,8.4
17-Oct-14,10.7,14.4,1.2
18-Oct-14,3.8,10.6,1.2
19-Oct-14,-0.3,8.9,0
20-Oct-14,4.6,12,2.6
21-Oct-14,5.2,9.5,8.2
22-Oct-14,2.2,13.4,0
23-Oct-14,1,14.8,0
24-Oct-14,0.5,15.6,0.2
25-Oct-14,8.1,15.7,0
26-Oct-14,0.9,9,0
27-Oct-14,-0.9,13.4,0.6
28-Oct-14,8.8,18.7,2.4
29-Oct-14,3.8,10.3,0.4
30-Oct-14,2.6,7.9,0
31-Oct-14,0.6,5.8,7.2
01-Nov-14,-0.4,2.2,1.6
02-Nov-14,-2.7,6.9,0
03-Nov-14,2.3,12.4,0
04-Nov-14,6.7,11.8,5.4
05-Nov-14,0.2,8.1,0
06-Nov-14,-0.2,9.5,2.2
07-Nov-14,-2.3,3.5,0.4
08-Nov-14,-1.1,4.8,4.2
09-Nov-14,-0.6,5.4,0.6
10-Nov-14,1.8,12.5,0.2
11-Nov-14,0.4,15.5,0.6
12-Nov-14,-0.8,5.8,0.2
13-Nov-14,-5.7,-0.8,0.8
14-Nov-14,-5.7,-1.1,1.4
15-Nov-14,-5.6,-0.7,0.2
16-Nov-14,-4,-0.1,0
17-Nov-14,-8.3,-0.7,5.4
18-Nov-14,-11,-7.7,4.8
19-Nov-14,-12.3,-3.1,2.8
20-Nov-14,-9.5,-4.7,8
21-Nov-14,-15.5,-4.6,0.6
22-Nov-14,-7.6,5.4,9.8
23-Nov-14,4.6,8.1,0.8
